Jıl,Kórsetkish,Boljanıw,TómenShegara,JoqarıShegara
2027,JAO,61624.02666859861,60520.94573524046,62702.43075879527
2028,JAO,67234.41866026362,64543.14594799691,69914.98471633744
2029,JAO,72860.1815888921,68292.76235506893,77409.2916855098
2030,JAO,78470.57358055709,71410.6087491993,85078.214983204
2031,JAO,84080.96557222208,74051.89847220802,93145.10237887835
2027,Sanaat,30658.908142203916,28693.069298315473,32678.81042941014
2028,Sanaat,33280.08782916795,31007.12280133504,35394.66141096366
2029,Sanaat,35908.44883034284,33425.19526930137,38400.093165570535
2030,Sanaat,38529.62851730686,35863.26885125448,41418.82539737517
2031,Sanaat,41150.808204270885,37961.33043156878,44433.04787625823
2027,AwılXojalıǵı,24557.135968860497,24223.0358525253,24934.534095384097
2028,AwılXojalıǵı,26782.171267756075,26232.172884636642,27372.094800868843
2029,AwılXojalıǵı,29013.302553771908,28010.585715602905,29973.93369441426
2030,AwılXojalıǵı,31238.337852667475,29804.956931746245,32791.716708488944
2031,AwılXojalıǵı,33463.37315156305,31456.963663241037,35562.133424911226
2027,Investitsiya,30431.800125532118,27847.500975352592,32762.90656963862
2028,Investitsiya,34468.08082558582,31891.908859333704,37057.11584992958
2029,Investitsiya,38515.41982892734,35624.58255806205,41418.438593110244
2030,Investitsiya,42551.700528981026,39055.45773606185,46220.812270793926
2031,Investitsiya,46587.98122903471,42315.25093302543,50968.5358430826
2027,Qurılıs,11996.612900936077,11549.020576098914,12419.478960962822
2028,Qurılıs,13326.197625209767,12793.846587328611,13849.551081240537
2029,Qurılıs,14659.425047358178,13933.614670854166,15450.796891503422
2030,Qurılıs,15989.009771631867,14964.447034849425,17054.50243694114
2031,Qurılıs,17318.594495905552,15936.625932576633,18772.5859624287
2027,SawdaAylanbası,19344.724014009607,18872.646997785472,19794.889340601596
2028,SawdaAylanbası,21396.190298423393,20854.488348658797,21989.66536231956
2029,SawdaAylanbası,23453.27703841091,22524.96488336231,24375.140227248314
2030,SawdaAylanbası,25504.74332282469,24193.9295125807,26893.059927986593
2031,SawdaAylanbası,27556.20960723847,25706.784272259363,29530.97543746869
2027,Xızmetler,42127.72657003251,41118.22377387493,43149.9903431019
2028,Xızmetler,47188.29296677901,45078.93367949527,49743.13129635795
2029,Xızmetler,52262.72392899604,48095.91185358568,56448.51088987442
2030,Xızmetler,57323.29032574253,51110.54102449389,63996.64271550583
2031,Xızmetler,62383.856722489014,53698.29054204181,71373.96153070271
2027,Eksport,515.4542994270382,359.0112804830081,671.9231687331654
2028,Eksport,539.9441910801247,391.32486990427117,706.2312803607406
2029,Eksport,564.5011783267812,397.35528157622963,722.2978128530332
2030,Eksport,588.9910699798675,430.73289731599107,744.119054277843
2031,Eksport,613.480961632954,449.3966993730686,770.5695369279732
2027,Import,325.0580528262015,253.9366531222357,396.91988300686927
2028,Import,338.3206888953464,266.4085529953948,408.2237127665629
2029,Import,351.61966095372185,284.4833871264996,419.7318911717982
2030,Import,364.8822970228667,290.1736215119081,434.0793838151946
2031,Import,378.1449330920116,305.09218194351064,449.76757319552394
2027,Saldo,178.6425636741945,28.330983125248277,338.7729246251272
2028,Saldo,187.82607395408,37.597557421406755,339.83925854124874
2029,Saldo,197.0347445361021,47.03011998547194,366.7030537695587
2030,Saldo,206.21825481598756,58.88410810132184,385.59313135372037
2031,Saldo,215.401765095873,60.16277096655677,374.4669778066317
