Jıl,Rayon,JumıssızlıqPáti,AktivXalıq,Bántler,Boljanıw,Naqıylıq,Tuwrı,P_Jaqsı,P_Ortasha,P_Qauipli
2018,Amudarya,8.76620850497158,84.3678627608,76.972,Ortasha,Ortasha,True,0.009,0.98,0.011
2018,Beruniy,8.987436946733313,79.5582473132,72.408,Ortasha,Ortasha,True,0.018,0.928,0.053
2018,Ellikqala,9.142801496141223,66.35907885431813,60.292,Qauipli,Qauipli,True,0.004,0.005,0.991
2018,Kegeyli,10.374274089723597,35.83011425999279,32.113,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,Mójnak,11.835922684697547,11.341353876182964,9.999,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,Nukus qalası,8.629778847352332,140.44729057360001,128.327,Ortasha,Ortasha,True,0.009,0.98,0.011
2018,Nukus tumani,9.547260196464652,21.1447436988,19.126,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,QR jámi,9.527108647675343,779.4600011773363,705.2,Qauipli,Qauipli,True,0.004,0.005,0.992
2018,Qanlikól,11.483113925121424,17.9039285076,15.848,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,Qaraózek,11.701886594593507,18.020770078,15.912,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,Qońırat,10.31497772285787,58.4188961208,52.393,Qauipli,Qauipli,True,0.004,0.005,0.992
2018,Shumanay,12.112127229463237,23.065753398000002,20.272,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,Shımbay,9.651951051372377,48.30873550442395,43.646,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,Taxtakópir,12.02019738053778,18.078012823913312,15.905,Qauipli,Qauipli,True,0.004,0.004,0.992
2018,Tórtk¸l,9.12066846179095,81.48497435730518,74.053,Qauipli,Qauipli,True,0.004,0.005,0.992
2018,Xojayli,9.744028241960565,51.0060432604,46.036,Qauipli,Qauipli,True,0.004,0.004,0.992
2019,Amudarya,8.938693949690059,81.47722744498408,74.19422744498408,Ortasha,Ortasha,True,0.011,0.976,0.013
2019,Beruniy,8.943046909249531,79.82737955468333,72.68837955468334,Ortasha,Ortasha,True,0.011,0.976,0.013
2019,Ellikqala,8.980238875883776,65.98933593976143,60.06333593976144,Ortasha,Ortasha,True,0.011,0.976,0.014
2019,Kegeyli,9.41853313574656,35.68496231375832,32.32396231375832,Qauipli,Qauipli,True,0.004,0.004,0.993
2019,Mójnak,9.510585723719533,10.304307520785668,9.324307520785668,Qauipli,Qauipli,True,0.004,0.005,0.992
2019,Nukus qalası,8.614525156529835,148.50499322418102,135.71199322418101,Ortasha,Ortasha,True,0.01,0.977,0.013
2019,Nukus tumani,9.218318137905746,20.88233418723526,18.957334187235258,Qauipli,Qauipli,True,0.004,0.003,0.993
2019,QR jámi,9.06061520168069,782.1075997072529,711.2438396346776,Qauipli,Qauipli,True,0.004,0.004,0.992
2019,Qanlikól,9.489010156283852,19.306544832674728,17.474544832674727,Qauipli,Qauipli,True,0.004,0.005,0.991
2019,Qaraózek,9.438088651378266,19.4213051784836,17.5883051784836,Qauipli,Qauipli,True,0.004,0.005,0.991
2019,Qońırat,9.512250640949514,55.55993212845421,50.2749321284542,Qauipli,Qauipli,True,0.004,0.004,0.993
2019,Shumanay,9.255049699122,21.620629440702288,19.619629440702287,Qauipli,Qauipli,True,0.004,0.005,0.992
2019,Shımbay,9.105334693493775,50.48688658622061,45.88988658622061,Qauipli,Qauipli,True,0.004,0.003,0.993
2019,Taxiatash,9.13867987437831,31.14235359068871,28.29635359068871,Qauipli,Qauipli,True,0.004,0.004,0.992
2019,Taxtakópir,9.607733077435276,17.34019863554253,15.674198635542531,Qauipli,Qauipli,True,0.004,0.005,0.992
2019,Tórtk¸l,9.021037434458842,77.94003795109823,70.90903795109823,Qauipli,Qauipli,True,0.004,0.004,0.992
2019,Xojayli,9.36473120876862,46.619171177998794,42.253411105423474,Qauipli,Qauipli,True,0.004,0.003,0.993
2020,Amudarya,10.3,88.3,79.2,Qauipli,Qauipli,True,0.004,0.004,0.993
2020,Beruniy,10.3,78.0,69.9,Qauipli,Qauipli,True,0.004,0.004,0.993
2020,Ellikqala,10.4,65.8,58.9,Qauipli,Qauipli,True,0.004,0.004,0.993
2020,Kegeyli,10.9,29.400000000000002,26.200000000000003,Qauipli,Qauipli,True,0.004,0.004,0.993
2020,Mójnak,9.700000000000001,12.600000000000001,11.4,Qauipli,Qauipli,True,0.004,0.004,0.992
2020,Nukus qalası,9.9,141.4,127.4,Qauipli,Qauipli,True,0.004,0.004,0.993
2020,Nukus tumani,10.600000000000001,22.6,20.200000000000003,Qauipli,Qauipli,True,0.004,0.004,0.993
2020,QR jámi,10.455696202531648,790.0,707.4,Qauipli,Qauipli,True,0.004,0.004,0.993
